participant,muscle,nmes,trial,session,condition,event_out,left,right,img_emo,img_oasis,Are you finished?,base_mood,Interested,Distressed,Excited,Upset,Strong,Guilty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,muscle_order_n,Notes for Experiment,Notes DAO,Notes ZM,height,weight,age,sex,ethnicity,education,prior_exp,reason,reason_open,worried,excited,TAS_1,TAS_2,TAS_3,TAS_4,TAS_5,TAS_6,TAS_7,TAS_8,TAS_9,TAS_10,TAS_11,TAS_12,TAS_13,TAS_14,TAS_15,TAS_16,TAS_17,TAS_18,TAS_19,TAS_20,BMI,TAS_total,left_ma,right_ma,nmes_int,neg_affect,pos_affect,corrected_AU12_r,corrected_AU15_r,image,fnmes,valence,arousal,discomfort,image_present
1,zm,50,14,1,2,21,225,212.5,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,11.25,10.625,10.9375,16,30,0,0.03079173838209982,none,zm 50,60.27165506573859,56.721891918020106,NA,0
1,zm,50,15,1,2,21,225,212.5,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,11.25,10.625,10.9375,16,30,0,-0.06080895008605853,none,zm 50,NA,NA,32.32671113689095,0
1,zm,50,22,1,2,40,225,212.5,neu,images\Cotton_swabs_2.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,11.25,10.625,10.9375,16,30,3.614457831325305e-4,-0.060912220309810645,neutral,zm 50,NA,NA,NA,1
1,zm,50,8,1,2,21,225,212.5,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,11.25,10.625,10.9375,16,30,0.001084337349397591,-0.018932874354561095,none,zm 50,NA,45.015226218097446,35.121205529775715,0
10,dao,0,14,1,3,67,0,0,0,images\blank.jpg,NA,66.875,4,4,3,1,2,1,1,1,3,2,1,3,1,2,2,1,3,3,3,1,0-1,NA,"No issues, just assymetric",Right side was difficult kept hitting the eye.,170,66,21,Male,Mixed two or more ethnic groups,Some University but no degree,No,NA,NA,27,57,2,2,1,2,1,2,3,2,2,2,4,3,3,2,3,2,4,5,3,4,22.837370242214536,52,0,0,0,16,26,0,-0.11008605851979346,none,off,55.06030065738592,45.46838747099768,NA,0
10,dao,0,15,1,3,67,0,0,0,images\blank.jpg,Yes,66.875,4,4,3,1,2,1,1,1,3,2,1,3,1,2,2,1,3,3,3,1,0-1,NA,"No issues, just assymetric",Right side was difficult kept hitting the eye.,170,66,21,Male,Mixed two or more ethnic groups,Some University but no degree,No,NA,NA,27,57,2,2,1,2,1,2,3,2,2,2,4,3,3,2,3,2,4,5,3,4,22.837370242214536,52,0,0,0,16,26,0,-0.06445783132530121,none,off,NA,NA,0,0
10,dao,0,3,1,3,67,0,0,0,images\blank.jpg,NA,66.875,4,4,3,1,2,1,1,1,3,2,1,3,1,2,2,1,3,3,3,1,0-1,NA,"No issues, just assymetric",Right side was difficult kept hitting the eye.,170,66,21,Male,Mixed two or more ethnic groups,Some University but no degree,No,NA,NA,27,57,2,2,1,2,1,2,3,2,2,2,4,3,3,2,3,2,4,5,3,4,22.837370242214536,52,0,0,0,16,26,0,0.03550774526678141,none,off,72.96017014694509,NA,NA,0
10,dao,0,33,1,3,134,0,0,neg,images\Dog_26.jpg,NA,66.875,4,4,3,1,2,1,1,1,3,2,1,3,1,2,2,1,3,3,3,1,0-1,NA,"No issues, just assymetric",Right side was difficult kept hitting the eye.,170,66,21,Male,Mixed two or more ethnic groups,Some University but no degree,No,NA,NA,27,57,2,2,1,2,1,2,3,2,2,2,4,3,3,2,3,2,4,5,3,4,22.837370242214536,52,0,0,0,16,26,0,-0.07454388984509466,congruent emotion,off,37.08490429234339,53.85187064965197,0,1
10,dao,0,36,1,3,131,0,0,neu,images\Roofing_2.jpg,Yes,66.875,4,4,3,1,2,1,1,1,3,2,1,3,1,2,2,1,3,3,3,1,0-1,NA,"No issues, just assymetric",Right side was difficult kept hitting the eye.,170,66,21,Male,Mixed two or more ethnic groups,Some University but no degree,No,NA,NA,27,57,2,2,1,2,1,2,3,2,2,2,4,3,3,2,3,2,4,5,3,4,22.837370242214536,52,0,0,0,16,26,0,-0.12621342512908781,neutral,off,NA,35.72542053364269,0,1
10,dao,0,4,1,3,67,0,0,0,images\blank.jpg,Yes,66.875,4,4,3,1,2,1,1,1,3,2,1,3,1,2,2,1,3,3,3,1,0-1,NA,"No issues, just assymetric",Right side was difficult kept hitting the eye.,170,66,21,Male,Mixed two or more ethnic groups,Some University but no degree,No,NA,NA,27,57,2,2,1,2,1,2,3,2,2,2,4,3,3,2,3,2,4,5,3,4,22.837370242214536,52,0,0,0,16,26,0,0.05216867469879518,none,off,NA,66.9935469837587,0,0
